env_id,group,slot,triplet_types,n_photos,photo_ids,room,background_desc,light_class,light_hardness,light_source,lux_target,camera_distance_cm,camera_tilt_deg,sleeve,accessory,accessory_side,difficulty,session_block,time_of_day,subject_id,room_confirmed,notes
E01,fold0,S1,diagonal,3,P01-P03,home office desk,plain wall behind the desk,daylight,soft,"diffuse window daylight (overcast or shaded), no lamp on",800,55,0,"short sleeves, forearms bare",none,,easy,A-day,daytime,subj01,,
E02,fold0,S2,cycleA+cycleB,6,P04-P09,kitchen,tiled splashback or cupboard fronts,artificial,hard,"ceiling light only, curtains or blinds shut",300,65,-15,"long sleeves, striped or patterned",wristwatch,image-left,medium,A-night,evening,subj01,,
E03,fold0,S3,cycleA+cycleB,6,P10-P15,bedroom,duvet and folded fabric,artificial,soft,"one dim lamp only, no ceiling light",60,75,20,long dark sleeves or hoodie cuffs,bracelet,image-right,hard,A-night,evening,subj01,,
E04,fold1,S1,diagonal,3,P16-P18,living room,plain painted wall,daylight,soft,"diffuse window daylight (overcast or shaded), no lamp on",800,55,0,"short sleeves, forearms bare",none,,easy,B-day,daytime,subj01,,
E05,fold1,S2,cycleA+cycleB,6,P19-P24,hallway,"closed internal door, flat panel",artificial,hard,"ceiling light only, curtains or blinds shut",300,65,-15,"long sleeves, striped or patterned",wristwatch,image-left,medium,B-night,evening,subj01,,
E06,fold1,S3,cycleA+cycleB,6,P25-P30,dining room,wooden table and chair backs,artificial,soft,"one dim lamp only, no ceiling light",60,75,20,long dark sleeves or hoodie cuffs,bracelet,image-right,hard,B-night,evening,subj01,,
E07,fold2,S1,diagonal,3,P31-P33,spare room,bookshelf with book spines (busy),daylight,soft,"diffuse window daylight (overcast or shaded), no lamp on",800,55,0,"short sleeves, forearms bare",none,,easy,C-day,daytime,subj01,,
E08,fold2,S2,cycleA+cycleB,6,P34-P39,landing or stairs,stair wall and banister,artificial,hard,"ceiling light only, curtains or blinds shut",300,65,-15,"long sleeves, striped or patterned",wristwatch,image-left,medium,C-night,evening,subj01,,
E09,fold2,S3,cycleA+cycleB,6,P40-P45,entryway,coat rack with hanging coats,artificial,soft,"one dim lamp only, no ceiling light",60,75,20,long dark sleeves or hoodie cuffs,bracelet,image-right,hard,C-night,evening,subj01,,
E10,test,S1,diagonal,3,P46-P48,balcony or doorway,"outdoor greenery, depth behind hands",daylight,soft,"diffuse window daylight (overcast or shaded), no lamp on",800,55,0,"short sleeves, forearms bare",none,,easy,X-day,daytime,subj01,,TEST - room must not appear in training
E11,test,S2,cycleA+cycleB,6,P49-P54,bathroom,"white wall tiles, no mirror in frame",artificial,hard,"ceiling light only, curtains or blinds shut",300,65,-15,"long sleeves, striped or patterned",wristwatch,image-left,medium,X-night,evening,subj01,,TEST - room must not appear in training
E12,test,S3,cycleA+cycleB,6,P55-P60,garage or utility,unfinished wall and shelving,artificial,soft,"one dim lamp only, no ceiling light",60,75,20,long dark sleeves or hoodie cuffs,bracelet,image-right,hard,X-night,evening,subj01,,TEST - room must not appear in training
